female,male
Renata,
Rica,
Rita,
Roberta,
Robertina,
Rodica,
Romana,
Romanița,
Romina,
Roxana,
Roxelana,
Roza,
Rozalia,
Ruxanda,
Ruxandra,
Sabina,
Sabrina,
Safina,
Safta,
Salomea,
Sanda,
Sandra,
Saveta,
Savina,
Sânziana,
Semenica,
Smeralda,
Severina,
Sidonia,
Silvana,
Silvia,
Silviana,
Simina,
Simona,
Smaranda,
Sodica,
Sofia,
Sofica,
Sonia,
Sorana,
Sorina,
Speranța,
Stana,
Stanca,
Stela,
Steliana,
Steluța,
Suzana,
Svetlana,
Ștefana,
Ștefania,
Tamara,
Tania,
Tatiana,
Teea,
Teodora,
Teodosia,
Teona,
Tiberia,
Timea,
Tinca,
Tincuța,
Tudora,
Tudorica,
Tudorița,
Tudosia,
Valentina,
Valeria,
Vanesa,
Varvara,
Vasilica,
Vasilichia,
Venera,
Vera,
Veronica,
Veta,
Vicenția,
Victoria,
Violeta,
Viorela,
Viorica,
Virginia,
Viviana,
Vlădelina,
Voichița,
Xenia,
Zaharia,
Zamfira,
Zaraza,
Zenobia,
Zenovia,
Zina,
Zita,
Zoe,
